,Occurrences,Hindawi (5594310),Giga (5594256),lemma#pos,Gloss,Answer1 - Egyptian,Answer2 - Syrian,Answer3 - Saudi Arabian,readability (rounded average),lemma,pos,4,12,6,13,10,14,11,8,7,2,5,15,9,3,17,16,19,18,1,First_Level,Total,Levels,First_Level_Margin_0.01,First_Level_Margin_0.02,samerMSADA
20,34796,61.44%,38.56%,كُلّ#noun_quant,"all,_entire,_every,_whole",1,1,1,1,كُلّ,noun_quant,15,665,16,228,408,726,232,130,89,3,23,154,57,5,25,48,3,4,0,2,2828.0,17.0,6.0,7.0,1
21,33605,74.76%,25.24%,إِنَّ#verb_pseudo,indeed,3,3,2,3,إِنَّ,verb_pseudo,0,402,0,238,604,454,126,7,0,0,0,121,5,0,17,40,1,1,0,8,2015.0,11.0,10.0,10.0,3
22,32297,46.15%,53.85%,بَيْنَ#noun,between/among,1,1,1,1,بَيْنَ,noun,0,460,2,128,219,699,176,73,85,0,4,179,26,0,28,74,2,4,0,5,2157.0,14.0,7.0,7.0,1
23,31706,50.99%,49.01%,بَعْد#noun,after,1,1,1,1,بَعْد,noun,0,485,4,127,201,517,150,103,49,0,3,105,35,1,18,27,1,3,0,3,1828.0,15.0,7.0,7.0,1
24,29980,88.42%,11.58%,رَأَى#verb,see;think;believe#be_seen;be_thought;be_believed,1,1,1,1,رَأَى,verb,1,280,5,159,199,139,100,93,26,0,8,62,25,0,15,27,3,4,0,4,1143.0,15.0,7.0,7.0,1
25,26582,54.40%,45.60%,يَوْم#noun,today#days#day,1,1,1,1,يَوْم,noun,2,422,17,114,245,384,162,100,76,1,19,75,28,4,9,20,2,2,0,2,1680.0,17.0,5.0,7.0,1
26,26093,50.13%,49.87%,أَوْ#conj,"Or,_if_not,_unless,_except_if,_except_when",1,1,1,1,أَوْ,conj,0,715,1,284,226,1203,187,116,17,0,6,251,32,3,31,124,2,8,0,3,3204.0,15.0,8.0,8.0,1
27,25648,97.42%,2.58%,يا#part_voc,"O,_oh",1,1,1,1,يا,part_voc,2,174,2,87,169,51,52,5,0,0,0,27,534,0,8,9,4,1,0,4,1121.0,13.0,9.0,9.0,1
28,24817,88.54%,11.46%,ثُمَّ#conj,"then,_afterwards,_next,_moreover",3,2,2,2,ثُمَّ,conj,0,272,2,94,188,236,130,254,11,0,9,52,44,0,17,24,1,0,0,5,1333.0,13.0,8.0,8.0,2
29,24663,68.65%,31.35%,لٰكِنَّ#verb_pseudo,"But,_however,_yet,_still,_nevertheless,_on_the_other_hand",2,1,2,2,لٰكِنَّ,verb_pseudo,0,243,0,105,281,154,92,42,1,0,0,44,10,0,6,17,1,3,0,7,998.0,12.0,8.0,8.0,2
30,24622,74.91%,25.09%,نَفْس#noun,same;self#selves#souls,1,1,1,1,نَفْس,noun,0,309,5,176,168,352,95,67,29,0,8,97,31,1,19,68,3,1,1,1,1427.0,16.0,7.0,7.0,1
31,24472,10.29%,89.71%,رَئِيس#noun,presidents#president;head;chairman,1,1,2,1,رَئِيس,noun,0,97,2,9,26,227,31,4,5,0,10,26,4,1,6,11,0,1,0,3,460.0,15.0,5.0,5.0,1
32,23327,80.13%,19.87%,إِذا#conj_sub,"If,_whether,_when,_whenever",1,1,1,1,إِذا,conj_sub,0,184,4,468,94,203,34,28,8,0,2,73,6,0,24,43,2,6,0,5,1177.0,14.0,8.0,8.0,1
33,23285,62.46%,37.54%,هِيَ#pron,it/they/she,2,1,1,1,هِيَ,pron,5,521,14,131,233,544,158,90,55,0,15,145,28,8,19,65,0,1,1,1,2033.0,17.0,6.0,7.0,1
